,time_code,emotion_values.grief,emotion_values.joy,emotion_values.disgust,emotion_values.outofbreath,emotion_values.pain,emotion_values.amazement,emotion_values.anger,emotion_values.cheekiness,emotion_values.sadness,emotion_values.fear
0,0.0,0.0,0.30000001192092896,0.01653660461306572,0.0,0.0,0.0,0.020986389368772507,0.0,0.0,0.012577340006828308
1,0.0,0.0,0.3628126382827759,0.01193209458142519,0.0,0.0,0.0,0.051748983561992645,0.0,0.0,0.0088041378185153
2,0.0,0.0,0.4262412190437317,0.00835246592760086,0.0,0.0,0.0,0.04579298570752144,0.0,0.0,0.006793958134949207
3,0.333125,0.0,0.45246073603630066,0.00584672624245286,0.0,0.0,0.0,0.06446871906518936,0.0,0.0,0.005759993568062782
4,0.66625,0.0,0.4901970624923706,0.004092708230018616,0.0,0.0,0.0,0.055385712534189224,0.0,0.0,0.004503636155277491
5,0.999375,0.0,0.22147515416145325,0.0034556782338768244,0.0,0.0,0.0,0.040321849286556244,0.0,0.0,0.30315256118774414
6,1.3325,0.0,0.2434985190629959,0.003136168234050274,0.0,0.0,0.0,0.029505731537938118,0.0,0.0,0.30220678448677063
7,1.665625,0.0,0.24702464044094086,0.002450364176183939,0.0,0.0,0.0,0.04194046929478645,0.0,0.0,0.30154475569725037
8,1.99875,0.0,0.18675953149795532,0.002008686074987054,0.0,0.0,0.0,0.11048442870378494,0.0,0.0,0.3010813295841217
9,2.331875,0.0,0.2034713625907898,0.002387294080108404,0.0,0.0,0.0,0.09412763267755508,0.0,0.0,0.30075693130493164
10,2.665,0.0,0.21294422447681427,0.0038524933625012636,0.0,0.0,0.0,0.07234424352645874,0.0,0.0,0.3005298674106598
11,2.998125,0.0,0.15175463259220123,0.004729488864541054,0.0,0.0,0.0,0.05064097046852112,0.0,0.0,0.3828880786895752
12,3.33125,0.0,0.10622823983430862,0.0033106424380093813,0.0,0.0,0.0,0.03654615208506584,0.0,0.0008839615038596094,0.44646382331848145
13,3.664375,0.0,0.07674986124038696,0.0023174495436251163,0.0,0.0,0.0,0.037071045488119125,0.0,0.0006187729886732996,0.4777664542198181
14,3.9975,0.0,0.07321062684059143,0.0016222147969529033,0.0,0.0,0.0,0.028905058279633522,0.0,0.0004331410746090114,0.48348620533943176
15,4.330625,0.0,0.06587360054254532,0.0011355503229424357,0.0,0.0,0.0,0.024655314162373543,0.0,0.0003031987289432436,0.4885714054107666
16,4.66375,0.0,0.06834853440523148,0.0007948852726258337,0.0,0.0,0.0,0.02351747639477253,0.0,0.0002122391015291214,0.47420620918273926
17,4.996875,0.0,0.13629212975502014,0.0005564196617342532,0.0,0.0,0.0,0.01724625751376152,0.0,0.00014856737107038498,0.42330610752105713
